invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Total_amount,hour,Day,Month,Time_of_Day,Profit_USD,Profit
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,2025-07-22 13:08:00,Ewallet,9.1,0.48,522.8299999999999,13,Wednesday,May,Afternoon,2.5095839999999994,2.5095839999999994
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,2025-07-22 10:29:00,Cash,9.6,0.48,76.39999999999999,10,Saturday,August,Morning,0.36671999999999993,0.36671999999999993
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,2025-07-22 13:23:00,Credit card,7.4,0.33,324.31,13,Sunday,March,Afternoon,1.070223,1.070223
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,2025-07-22 20:33:00,Ewallet,8.4,0.33,465.76,20,Sunday,January,Evening,1.537008,1.537008
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,2025-07-22 10:37:00,Ewallet,5.3,0.48,604.1700000000001,10,Friday,August,Morning,2.900016,2.900016
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,2025-07-22 18:30:00,Ewallet,4.1,0.48,597.73,18,Monday,March,Evening,2.8691039999999997,2.8691039999999997
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,2025-07-22 14:36:00,Ewallet,5.8,0.33,413.04,14,Monday,February,Afternoon,1.363032,1.363032
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,2025-07-22 11:38:00,Ewallet,8.0,0.18,735.6,11,Sunday,February,Morning,1.32408,1.32408
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,2025-07-22 17:15:00,Credit card,7.2,0.33,72.52,17,Tuesday,October,Evening,0.23931599999999997,0.23931599999999997
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,2025-07-22 13:27:00,Credit card,5.9,0.33,164.52,13,Wednesday,February,Afternoon,0.5429160000000001,0.5429160000000001
